date,ENG,PAR,MIL,ISB,DNP,NML,ORO,FOL,TRM,SCC,PNF,NHG,SHA
2015-02-09,0.09084938525450192,0.3258129015590594,0.07933613018504929,0.05859265925309974,0.2561081347556592,0.3879422237623644,0.35590466399810994,0.3637730496398965,0.11203008421282808,0.04124562366638862,0.10532767845861672,0.04597605811820262,0.3716327694030669
2015-02-10,0.10455550024898833,0.34124914199887313,0.08063731670629136,0.059625999373728436,0.260671995901099,0.3959000890716179,0.3907551432839722,0.40135768238173586,0.12734361176729914,0.04314581345572003,0.11649651383490497,0.06094028750248709,0.4066715826300627
2015-02-11,0.11935733203076361,0.3542726864043084,0.08175496594660477,0.060941642624315374,0.26347850192944483,0.40018899110734957,0.4204858505668595,0.43413817550349054,0.1411268112679615,0.04514533073899373,0.12917823194493622,0.0708055535490874,0.43618055006885115
2015-02-12,0.1324761880470682,0.3645811602420521,0.0826762183935803,0.062375403295578946,0.26455221668061374,0.39842988833948445,0.44441183319345995,0.46134792863422197,0.15328989079707675,0.04691633610845106,0.14111504154604498,0.07657620090395999,0.45972127226931186
2015-02-13,0.14384032917043935,0.3721789541956532,0.08341729469837195,0.06381707629995292,0.25369808829873997,0.36579596730386904,0.46236704244383303,0.48284520766325434,0.16384319749125242,0.04843947869945944,0.15202151201066205,0.07974947640410898,0.47732067648178406
2015-02-14,0.15357458917412148,0.37740059617099186,0.08401895404312963,0.0651967406024648,0.23776606179856316,0.33950783089131625,0.47480590360817737,0.498881075895434,0.17285927815660443,0.049709847171899496,0.16193627249335196,0.0812764749449245,0.4898816296588411
2015-02-15,0.1620529180395635,0.3808160166920577,0.08452162861060758,0.06647310457383626,0.22079218671238326,0.3240944417471267,0.48274580354717656,0.5103412910698077,0.18052224958518448,0.05073604773171298,0.17090301676761097,0.08173150874470057,0.49885518721420297
2015-02-16,0.16968295895067384,0.3828328547807606,0.0851353464152706,0.06764187679092935,0.20966713107875476,0.3111948554427733,0.48723432092964036,0.5184476233219648,0.18706886765983433,0.05155155648105112,0.17896456737233624,0.07325876427716758,0.5051343563192963
2015-02-17,0.17694811236822533,0.38380358997366326,0.08610924426221171,0.06870502957164067,0.20459418301713833,0.296825046137863,0.48905249688977337,0.5237616821250864,0.19263511411678713,0.05220226943352948,0.1861981865540453,0.06606978516925084,0.5091029361976385
2015-02-18,0.1848092992148805,0.38248931404435876,0.08742022666938805,0.06966533084556362,0.19823713599148965,0.28549173793734106,0.47214171399051796,0.5265307675406832,0.19735975181124424,0.05272360974524608,0.19271346559874356,0.06067697445858071,0.5109322199377678
2015-02-19,0.19353763177558364,0.37372235734007586,0.08880690913063186,0.07052551397147237,0.19159437454629352,0.27756144070548827,0.4507939815087216,0.527191014959663,0.20145273429251487,0.05315336045856813,0.1985893097634653,0.055545206579751503,0.4984946291918453
2015-02-20,0.2020921107757777,0.3646059052985998,0.0900418131596563,0.07128804845075139,0.18524378339597217,0.26864803415962557,0.43005773760245447,0.5136345663024351,0.20502837416155975,0.053528511656204786,0.2038735144060017,0.05061414238257191,0.4799211341073029
2015-02-21,0.20976706076093243,0.3546915271626305,0.09109899186635104,0.0719536335183715,0.17810497611181342,0.26024740346269265,0.40998547960438153,0.5036840597180431,0.20817357664602645,0.05386677453530768,0.20859985368140224,0.04744998953858374,0.45950532651343934
